lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
NS00029,0.7,0,1,0.5,0.7,1,0,1.0,0.7,0.96,1,0.5,1.0,1,1,1.0,1.0,0.98,1,0.5,0.7,0.74,1,1.0,0.4,0
NS00030,0.7,1.0,1,0.5,1.0,0.83,1,1.0,1.0,0.79,1,1.0,0.7,0.74,1,1.0,1.0,0.9,1,1.0,0,0.15,1,1.0,0.4,1.0
NS00031,1.0,0.01,1,1.0,0,1.0,1,1.0,0,0,1,0.5,1.0,0.98,1,1.0,0.7,1,1,1.0,1.0,0.98,1,1.0,0.6,1.0
NS00032,1.0,0.77,1,1.0,0.7,0.06,1,1.0,1.0,0.81,1,1.0,0,0.44,1,0.5,1.0,0,1,1.0,0.7,1,1,1.0,0.2,0.33
NS00033,0.7,0.88,1,1.0,0.7,0.93,1,1.0,1.0,0,1,1.0,1.0,0.97,1,1.0,0,0,1,1.0,1.0,1,1,1.0,0.4,1.0
NS00034,0,0.78,1,1.0,1.0,0.85,1,1.0,0.7,0,1,1.0,0.7,0,1,0.5,1.0,0.68,1,1.0,1.0,0.42,1,1.0,0.6,0.67
NS00035,0,0.78,1,1.0,1.0,0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0,0.58,1,1.0,1.0,0.93,1,1.0,0.4,1.0
NS00036,1.0,0.76,1,1.0,1.0,0,1,1.0,0.7,0,1,1.0,0.7,0.74,1,1.0,1.0,0.05,1,1.0,0.7,0,1,1.0,0.8,1.0
NS00037,1.0,1,1,1.0,1.0,0.9,1,1.0,0.7,0,1,1.0,1.0,1.0,1,1.0,0,0.37,1,1.0,0.7,0.23,1,1.0,0.2,1.0
NS00038,1.0,1.0,1,0.5,0.7,0,1,1.0,1.0,1,1,1.0,0,0.55,1,0.5,0.7,0.32,0,1.0,1.0,1,1,1.0,0.4,1.0
NS00039,0.7,0,1,1.0,1.0,1.0,1,1.0,1.0,0,1,1.0,1.0,0.86,1,1.0,0.7,1,1,1.0,0.7,0,1,1.0,0.4,1.0
NS00040,0,0,1,1.0,0.7,0.71,1,1.0,0,0,1,1.0,0,1,1,1.0,1.0,0,1,1.0,1.0,1,1,1.0,0.4,1.0
NS00041,0,1,1,1.0,1.0,0,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,0.7,0,1,1.0,1.0,1,1,1.0,0.6,1.0
NS00042,1.0,0.91,1,1.0,0.7,0.95,1,1.0,0.7,0.11,1,0.5,1.0,1,1,1.0,1.0,0,1,1.0,0.7,0.04,1,1.0,0.8,0
NS00043,1.0,0.24,1,1.0,0,0.52,1,1.0,0.7,1.0,1,0.5,0,0,1,1.0,0.7,0.91,1,1.0,0.7,0.52,1,1.0,0.2,1.0
NS00044,0.7,0.7,1,1.0,0.7,0,1,1.0,1.0,1,1,1.0,0.7,0.5,1,1.0,0,0,0,1.0,1.0,0.99,1,1.0,0.4,0.67
NS00045,0,0,0,1.0,0,0,1,1.0,1.0,1,1,1.0,1.0,0.12,1,1.0,1.0,1,1,1.0,1.0,0.91,1,1.0,0.2,0
NS00046,0,0.37,1,1.0,0.7,0.93,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0.9,0,0.5,0.7,0.92,1,1.0,0.4,0.67
NS00047,1.0,0.85,1,1.0,1.0,0,1,1.0,0,0.98,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,0.74,0,1.0,0.6,1.0
NS00048,1.0,0,1,0.5,0,0,1,1.0,0.7,0,1,1.0,0,0.64,1,0.5,0,0.86,1,1.0,0,0,1,1.0,0.8,0
NS00049,0.7,1,1,1.0,1.0,0.74,0,1.0,1.0,0.6,1,0.5,1.0,1,1,1.0,0.7,1,1,0.5,0.7,0,1,1.0,0.4,0.67
NS00050,0.7,1,1,0.5,0.7,0.97,1,0.5,0.7,1,1,0.5,0.7,0.46,1,1.0,0,0.71,1,1.0,1.0,0.16,1,0.5,0.4,0.67
NS00051,0,0.35,1,1.0,0.7,0.2,1,1.0,1.0,0.8,1,1.0,1.0,0.99,1,1.0,0,0,1,1.0,1.0,0.24,1,1.0,0.4,1.0
NS00052,0.7,0.89,1,1.0,0.7,0.99,1,1.0,0.7,0.81,1,1.0,0,0.34,1,1.0,0.7,0,1,1.0,1.0,0,1,0.5,0.2,0.33
NS00053,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,0.71,1,1.0,0.7,0.8,1,1.0,0,1,1,1.0,1.0,1.0,1,0.5,0.6,1.0
NS00054,1.0,0,1,1.0,1.0,0,1,0.5,0,0.71,1,1.0,1.0,0,1,1.0,1.0,0.46,1,1.0,0.7,0.99,1,1.0,0.6,1.0
NS00055,0,0,1,0.5,0,0,1,1.0,0,0.12,1,1.0,0.7,0.2,1,1.0,1.0,0,1,1.0,0.7,0,1,0.5,0.2,1.0
NS00056,0.7,0,1,0.5,1.0,0.54,1,1.0,1.0,1,1,1.0,0,0,0,1.0,0.7,0,1,1.0,0,0,1,1.0,0.6,1.0
NS00057,0.7,0,1,1.0,0.7,1,1,1.0,0,0,1,1.0,0,0,0,1.0,0.7,0.68,1,1.0,1.0,1,1,0.5,0.8,1.0
NS00058,0.7,0.91,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,0,0.28,1,1.0,1.0,1,1,1.0,1.0,0,1,0.5,0.6,1.0
NS00059,0,0,1,0.5,1.0,0,1,1.0,1.0,0,1,1.0,0,0,1,1.0,1.0,0.84,1,1.0,1.0,0.97,1,1.0,0.6,1.0
NS00060,0,0.94,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,1.0,0,1,1.0,0.7,0.96,1,1.0,0.4,1.0
NS00061,1.0,1,1,1.0,1.0,0,1,1.0,0.7,0.42,1,1.0,0.7,0,1,1.0,0.7,1.0,1,1.0,0,0.83,1,1.0,0.6,1.0
NS00062,0,0,1,1.0,0.7,1,1,1.0,1.0,0.99,0,1.0,1.0,0.99,1,1.0,0.7,1.0,1,1.0,0.7,1,1,1.0,0.2,1.0
NS00063,0.7,0.65,1,1.0,0,0.95,1,1.0,0,0,0,1.0,1.0,0.94,1,1.0,0.7,0.96,1,1.0,1.0,1.0,1,1.0,0.4,0.67
NS00064,1.0,0.87,1,1.0,1.0,0,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0,1,1.0,0,0.91,1,0.5,0.6,0
NS00065,0,0.38,1,0.5,0.7,1.0,1,0.5,0.7,0.78,1,0.5,1.0,0.73,1,1.0,0.7,0.56,1,1.0,0.7,0.75,1,0.5,0.4,1.0
NS00066,1.0,0.2,0,1.0,0,0,1,1.0,1.0,0.77,1,1.0,1.0,0.89,1,1.0,1.0,1,1,1.0,1.0,0.96,1,1.0,0.2,1.0
NS00067,1.0,0.98,0,1.0,0.7,1,1,1.0,0.7,0,1,1.0,1.0,0.99,1,1.0,0,0,1,1.0,1.0,0.49,1,0.5,0.4,0.67
NS00068,0.7,0,1,1.0,0,1,1,1.0,1.0,0.41,1,1.0,0.7,1,1,1.0,1.0,0,1,1.0,0.7,0.93,1,1.0,0.6,0.67
NS00069,1.0,1,1,1.0,0,0,1,0.5,1.0,0.61,1,1.0,1.0,0.84,1,1.0,0.7,1,1,1.0,1.0,0.23,1,1.0,0.6,1.0
NS00070,0.7,0.87,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,1.0,0,1.0,1.0,0,1,0.5,0.7,0.98,1,1.0,0.8,1.0
NS00071,1.0,0,1,0.5,0.7,0.91,1,1.0,0,0,1,1.0,1.0,0.61,1,1.0,1.0,0.22,1,0.5,0,0.87,1,1.0,0.6,1.0
NS00072,0.7,0,1,0.5,0,0,1,1.0,1.0,0.86,1,0.5,1.0,0.87,1,1.0,1.0,0,1,0.5,1.0,0.96,1,1.0,0.6,0.67
NS00073,0.7,0.5,1,1.0,0.7,0.43,1,0.5,0.7,0.93,1,1.0,1.0,0.92,1,1.0,0.7,0.83,1,1.0,1.0,0,1,1.0,0.6,1.0
NS00074,1.0,0.27,1,1.0,0.7,0,1,1.0,0,0,1,0.5,1.0,0,1,1.0,1.0,0,1,1.0,0,0,1,0.5,0.4,1.0
NS00075,1.0,0.95,1,0.5,0,0,0,1.0,0.7,0,1,0.5,1.0,0.98,1,1.0,0,0,0,1.0,0,0,1,1.0,0.8,0.67
NS00076,0.7,0.9,1,0.5,0,0,1,1.0,0.7,0.11,1,1.0,1.0,0.97,1,1.0,1.0,0,1,0.5,0,0.47,1,1.0,0.6,1.0
NS00077,0,0,1,1.0,0,0.74,1,1.0,1.0,0,1,1.0,1.0,0.16,1,1.0,0.7,0.54,1,1.0,1.0,1.0,1,1.0,0.4,0.67
NS00078,1.0,0.15,1,1.0,0,0,1,1.0,0,0.83,0,1.0,0.7,0.08,1,1.0,0,0,1,1.0,0.7,1.0,1,1.0,0.4,1.0
NS00079,0,0,1,0.5,1.0,0.92,1,0.5,0,0,1,1.0,1.0,0.98,1,1.0,0,0,1,1.0,1.0,0.35,1,1.0,0.6,1.0
NS00080,0,0,1,1.0,0,0,1,1.0,0.7,0.61,1,0.5,0.7,0,0,1.0,1.0,0.98,0,1.0,0.7,0.6,1,1.0,0.4,0.67
NS00081,1.0,0.61,1,1.0,0,0.99,1,1.0,0.7,0.92,1,1.0,0.7,0,1,1.0,0,0,1,0.5,1.0,0,1,0.5,0.4,1.0
NS00082,0,0,1,0.5,0.7,0.79,1,1.0,1.0,0.05,1,1.0,0,0,1,1.0,1.0,1.0,1,1.0,0,0.45,1,0.5,0.4,1.0
NS00083,1.0,1,1,0.5,0.7,0,1,1.0,1.0,0.93,1,1.0,0,0.41,1,1.0,0,0,1,0.5,0.7,0,1,1.0,0.8,0.67
NS00084,0,0,1,1.0,0.7,0.96,1,0.5,0,0.38,1,1.0,0,0,1,1.0,0,0,0,1.0,0,0,1,0.5,0.6,0.67
NS00085,0,0,1,1.0,0.7,0.95,1,1.0,0.7,0.55,1,1.0,0,0,1,1.0,0.7,1,1,1.0,1.0,1,1,1.0,0.4,1.0
NS00086,1.0,0,1,1.0,1.0,0.99,1,1.0,0.7,0.79,1,1.0,1.0,0.97,1,1.0,0.7,0,1,1.0,1.0,0.97,1,1.0,0.8,0.67
NS00087,0,0,1,1.0,1.0,0,1,1.0,0.7,0,1,0.5,0,0.21,1,0.5,0.7,0,1,1.0,0.7,0.16,1,1.0,0.6,0
NS00088,0,0,1,1.0,0.7,0.89,1,1.0,1.0,1,1,1.0,1.0,0,0,1.0,1.0,0.96,1,1.0,1.0,1,1,1.0,0.8,1.0
NS00089,1.0,0.58,1,0.5,0.7,0,1,1.0,0,0,1,0.5,0.7,0.9,1,1.0,0.7,0.93,0,1.0,0,0,1,1.0,0.6,0.67
NS00090,1.0,0.39,1,1.0,0,0,1,1.0,1.0,1.0,1,1.0,0.7,0,1,1.0,0,0.73,1,1.0,0.7,0,1,1.0,0.6,0.67
NS00091,0.7,0,0,1.0,0.7,0.44,1,1.0,0.7,1.0,1,1.0,0,0.32,1,1.0,0.7,0,1,1.0,1.0,0.98,1,1.0,0.6,1.0
NS00092,0.7,1,1,1.0,1.0,0.68,1,1.0,0,0,1,1.0,1.0,0.96,1,1.0,0,0,1,0.5,1.0,0.28,1,1.0,0.8,0
NS00093,0.7,0.8,1,0.5,0.7,0.96,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,0.8,0.33
NS00094,0.7,0.84,1,1.0,1.0,0.68,1,1.0,1.0,0.99,1,1.0,0.7,0,1,0.5,1.0,0,1,1.0,1.0,0,1,1.0,0.6,1.0
NS00095,0.7,0.96,1,1.0,0,0.84,1,1.0,1.0,0.2,1,1.0,0,0,0,1.0,0.7,0,1,0.5,1.0,0.59,1,1.0,0.6,0.33
NS00096,0.7,0.94,1,1.0,0,0,1,1.0,0.7,0.91,1,0.5,1.0,0.02,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0.4,1.0
NS00097,1.0,0,1,0.5,0.7,0.93,1,1.0,1.0,0,1,1.0,0,0,1,0.5,0.7,0.91,1,0.5,0.7,0,1,1.0,0.4,0
NS00098,1.0,1,1,1.0,0,0,0,1.0,0,0,1,1.0,0.7,0.08,1,0.5,1.0,0.23,1,1.0,0.7,0.81,1,1.0,0.6,1.0
NS00099,1.0,0.99,1,1.0,0.7,0.57,1,1.0,1.0,0.99,1,1.0,0,0,1,1.0,0.7,0.96,1,1.0,0.7,0.2,1,1.0,0.4,1.0
NS00100,0,0,1,1.0,0.7,0.85,1,1.0,1.0,0.44,1,1.0,0,0,1,1.0,1.0,1,1,1.0,0.7,0,1,1.0,0.2,0.67
NS00101,0.7,0.72,1,1.0,0.7,0.95,1,1.0,0,0,1,1.0,0.7,0.94,1,1.0,0.7,0.11,1,0.5,1.0,1,1,1.0,0.4,1.0
NS00102,1.0,1.0,1,0.5,0.7,1,1,1.0,0.7,0.55,1,1.0,0.7,0,1,1.0,0,0.89,1,1.0,0.7,0.99,1,1.0,0.4,1.0
NS00103,0.7,0,1,1.0,0,0,1,1.0,0,0.12,1,1.0,0,0.09,1,1.0,0.7,0.17,1,1.0,0.7,0,1,1.0,0.4,1.0
NS00104,0.7,0,1,1.0,0,1,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0,1,1,1.0,1.0,0,1,1.0,0.6,0.67
NS00105,0.7,0.9,1,1.0,0.7,1,1,1.0,1.0,1,0,1.0,1.0,1,1,0.5,0.7,0.41,1,1.0,0.7,0.97,1,1.0,0.4,1.0
NS00106,1.0,0.17,1,1.0,1.0,0,1,1.0,0,0,1,1.0,0.7,0.61,1,1.0,0,0,1,1.0,1.0,0.61,1,1.0,0.6,1.0
NS00107,1.0,0,1,1.0,1.0,0.67,1,0.5,1.0,1,1,1.0,1.0,0.91,1,0.5,0.7,0.86,1,1.0,0.7,0,1,1.0,0.4,1.0
NS00108,0,0,1,1.0,1.0,0.34,1,0.5,1.0,0.93,1,1.0,0,0,1,1.0,0.7,0.19,1,1.0,0,0,1,1.0,0.2,1.0
NS00109,0,0,0,1.0,0.7,1,1,0.5,0.7,1,1,1.0,1.0,0,1,1.0,1.0,1,1,1.0,0,0,1,1.0,0.2,0.67
NS00110,1.0,1,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,1,1,1.0,0.7,0.59,1,1.0,1.0,0,1,0.5,0.8,1.0
NS00111,0,0.91,1,1.0,0.7,0.83,1,0.5,0.7,0,1,1.0,0.7,0.02,1,1.0,0.7,0,1,1.0,1.0,1.0,1,1.0,0.6,0.67
NS00112,0,0.46,1,0.5,0,0,1,1.0,1.0,1.0,1,1.0,1.0,0.94,1,1.0,1.0,0.84,1,1.0,1.0,0.26,1,1.0,0.2,1.0
NS00113,1.0,0.96,0,1.0,0.7,0,1,1.0,0.7,0.73,1,1.0,1.0,1,0,1.0,1.0,0,1,1.0,0.7,0.86,1,0.5,0.4,1.0
NS00114,1.0,0,1,1.0,0.7,0.93,1,1.0,0.7,0,0,1.0,0.7,0,1,1.0,0,0.87,1,1.0,0,0.62,1,1.0,0.4,0.67
NS00115,1.0,0,1,1.0,1.0,0.07,1,1.0,0,0,0,0.5,1.0,1,1,0.5,1.0,0.7,1,1.0,0.7,0,1,1.0,0.6,0.67
NS00116,0,0,1,0.5,1.0,0.48,1,0.5,1.0,0.86,1,0.5,0.7,1,1,1.0,0.7,0.54,1,1.0,1.0,0,1,1.0,0.2,1.0
NS00117,0,0,1,0.5,0,0,1,1.0,0,0.16,1,1.0,0.7,0.27,1,0.5,1.0,0.19,1,1.0,0.7,0.41,1,1.0,0.4,0
NS00118,0.7,1,1,1.0,0.7,0,1,1.0,0.7,0.54,1,1.0,0,0,1,1.0,0,0,0,1.0,1.0,0.97,1,1.0,0.6,1.0
NS00119,0,0,1,1.0,0,1,1,0.5,1.0,0,1,1.0,1.0,0,1,1.0,0.7,0,1,1.0,1.0,0.25,1,1.0,0.8,0.33
NS00120,0.7,0.97,1,1.0,1.0,0.38,1,1.0,0.7,1,1,1.0,1.0,0.6,1,1.0,1.0,0.24,1,1.0,0,0.19,1,1.0,0.4,1.0
NS00121,0,0,0,0.5,0.7,1.0,1,1.0,0.7,0,1,1.0,0,0.64,1,1.0,0.7,0,1,1.0,1.0,0.83,0,1.0,0.6,1.0
NS00122,0.7,1.0,1,1.0,1.0,1,1,1.0,1.0,0.99,1,0.5,0,0,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.2,1.0
NS00123,0,0,1,1.0,0.7,0.91,0,1.0,0.7,0,1,1.0,1.0,1.0,1,1.0,0.7,1,1,1.0,0.7,1,1,1.0,0.4,1.0
NS00124,0.7,0.55,1,1.0,1.0,0.9,1,1.0,0.7,1.0,1,1.0,0,0.27,1,0.5,0,0,1,1.0,0.7,1,1,1.0,0.4,1.0
NS00125,1.0,0.63,1,1.0,0,0.98,1,1.0,0.7,0.82,1,1.0,0.7,0.79,1,1.0,0,0,0,1.0,0,1.0,0,0.5,0.6,1.0
NS00126,1.0,0.45,1,1.0,1.0,0.92,1,1.0,1.0,0.54,1,1.0,0.7,0,1,1.0,1.0,1,1,0.5,0,0,1,1.0,0.4,1.0
NS00127,0.7,0.93,1,1.0,0.7,1,0,1.0,1.0,1,1,1.0,0.7,0,1,1.0,0,0.03,1,1.0,1.0,0,1,1.0,0.4,0.67
NS00128,0,0.98,1,1.0,0.7,0.04,1,1.0,0,0.74,1,1.0,0,0.71,1,1.0,0.7,1,1,1.0,0.7,0,1,1.0,0.4,1.0
NS00129,0.7,1,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0,1,0.5,1.0,1,1,1.0,1.0,0,1,1.0,0.4,1.0
NS00130,0.7,1,0,1.0,1.0,0.14,1,1.0,0.7,0,1,1.0,1.0,1.0,1,1.0,1.0,0,1,1.0,0,1,1,1.0,0.6,1.0
NS00131,1.0,1,1,1.0,0.7,0.6,0,1.0,1.0,0,1,0.5,0,0,0,1.0,0,0.67,1,1.0,0.7,0.77,1,1.0,0.0,0.33
NS00132,0,1.0,1,1.0,1.0,0,1,1.0,0,1,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.99,1,1.0,0.8,1.0
NS00133,1.0,0,1,1.0,0.7,1,1,1.0,1.0,0,0,1.0,0,0,1,1.0,1.0,0.79,1,1.0,0.7,1,1,1.0,0.8,1.0
NS00134,1.0,0.92,1,1.0,0.7,1,1,0.5,0,0,1,1.0,0.7,0,1,1.0,0.7,0.91,1,0.5,1.0,0,1,1.0,0.6,1.0
NS00135,0,0.98,1,1.0,1.0,0.39,1,1.0,0,0,1,1.0,1.0,0.88,1,1.0,1.0,0.75,1,1.0,1.0,0.23,1,1.0,0.6,1.0
NS00136,1.0,1,1,1.0,0.7,0.92,1,1.0,1.0,0,1,0.5,1.0,0.98,1,0.5,0,0.59,0,1.0,0,0.74,1,1.0,0.4,1.0
NS00137,1.0,1,1,1.0,1.0,0,1,1.0,0.7,0.17,0,0.5,1.0,1,1,1.0,0,0,1,1.0,0,0,1,1.0,0.2,1.0
NS00138,0.7,1.0,1,1.0,1.0,1.0,1,1.0,1.0,0,1,1.0,1.0,0,1,1.0,1.0,0.81,1,1.0,0.7,0.72,1,0.5,0.4,1.0
NS00139,0,0.91,1,1.0,0.7,0.8,1,1.0,0.7,0.84,1,1.0,0.7,0,1,1.0,0.7,0.95,1,1.0,0,0,1,1.0,0.2,1.0
NS00140,0.7,0.88,1,1.0,1.0,0.68,1,1.0,1.0,0.62,1,1.0,0.7,0,0,0.5,0.7,1,0,1.0,0,0,1,1.0,0.6,1.0
NS00141,0,0,1,1.0,1.0,0.92,1,1.0,0,0,1,1.0,0.7,0,1,0.5,1.0,0,1,1.0,1.0,1,1,1.0,0.4,1.0
NS00142,1.0,0.86,1,1.0,0,0,1,1.0,0.7,0.46,1,0.5,1.0,0.95,1,1.0,0.7,0.23,1,1.0,1.0,0.11,1,1.0,0.6,1.0
NS00143,0.7,0,1,0.5,0,0,1,1.0,0.7,0.54,1,1.0,1.0,0,1,1.0,0.7,0.82,0,1.0,0.7,1.0,1,1.0,0.6,1.0
NS00144,0.7,0.03,1,0.5,0,0,1,1.0,0.7,0,1,0.5,0.7,1.0,1,1.0,1.0,1,1,1.0,1.0,1.0,1,0.5,0.6,1.0
NS00145,1.0,1,1,1.0,0.7,0.99,1,1.0,0.7,0,1,1.0,0.7,0.99,1,1.0,0,0.91,1,1.0,0,0.91,1,1.0,0.4,1.0
NS00146,1.0,0.98,1,1.0,0.7,1,1,1.0,0.7,0.3,1,1.0,0.7,0.84,1,1.0,1.0,0.68,1,1.0,1.0,0.84,1,1.0,0.4,1.0
NS00147,0.7,0.89,1,0.5,1.0,1.0,1,1.0,1.0,0.83,1,1.0,1.0,1,1,1.0,1.0,0,1,1.0,0.7,0.45,1,1.0,0.6,1.0
NS00148,0,0,1,1.0,1.0,1,0,1.0,0.7,0.62,1,1.0,0.7,0,0,1.0,0.7,0.76,1,1.0,1.0,0.56,1,0.5,0.6,1.0
NS00149,0.7,0.91,1,1.0,1.0,0,1,1.0,0.7,1.0,1,1.0,1.0,0.92,1,1.0,1.0,0.59,1,1.0,1.0,0.59,1,1.0,0.6,0.67
NS00150,0,0,1,1.0,0.7,1,1,1.0,0.7,0.65,1,1.0,0.7,0,1,0.5,1.0,1,1,1.0,0,0,1,1.0,0.4,1.0
NS00151,0.7,1.0,0,0.5,0.7,0,1,0.5,0.7,0,1,1.0,0.7,0.95,1,1.0,1.0,0.55,1,1.0,0,0,1,1.0,0.6,0
NS00152,1.0,0,1,1.0,0.7,1,1,0.5,1.0,0,1,1.0,0.7,0.86,1,0.5,1.0,0,1,1.0,1.0,0,1,1.0,0.6,1.0
NS00153,0.7,0,1,1.0,0.7,1,1,1.0,0.7,0.86,0,1.0,0,0,1,1.0,0,0,1,1.0,1.0,1,1,1.0,0.4,1.0
NS00154,0,0,1,1.0,0,1.0,1,1.0,0,0,1,1.0,0.7,1,1,0.5,0,0,1,1.0,1.0,1,1,1.0,0.6,1.0
