lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
LPB00054,0,0.49,1,1.0,1.0,0.79,1,1.0,0.7,0.59,1,1.0,0.7,0.46,1,1.0,0.7,0.78,1,1.0,0.7,0.78,1,1.0,0.52,1.0
LPB00056,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,0.57,1.0
LPB00058,0.7,0.38,1,1.0,0,0,1,0.5,0.7,0.79,1,1.0,1.0,0.73,1,1.0,0,0,1,1.0,0.7,0.47,1,1.0,0.55,1.0
LPB00061,0,0,1,0.5,1.0,0.52,1,1.0,0.7,0.76,1,1.0,0.7,0.44,1,0.5,0,0.91,1,1.0,0.7,0.37,1,1.0,0.7,1.0
LPB00063,1.0,0.54,1,1.0,0.7,0.86,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0.7,0.41,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00065,0.7,0.86,1,1.0,0.7,0.88,1,1.0,1.0,0.84,1,1.0,0.7,0.06,1,1.0,1.0,0.79,1,1.0,0.7,0.84,1,1.0,0.23,1.0
LPB00071,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00074,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00079,0.7,0.56,1,1.0,0.7,0.65,1,1.0,0.7,0.84,1,1.0,0,0,1,0.5,0.7,0.87,1,1.0,1.0,0.77,1,1.0,0.75,1.0
LPB00080,1.0,0.96,1,1.0,0.7,0.34,1,1.0,0,0.67,1,1.0,1.0,0.8,1,1.0,0.7,0.74,1,1.0,1.0,0.23,1,1.0,0.58,1.0
LPB00081,0,0.92,1,1.0,0,0.79,1,1.0,1.0,0,1,1.0,0,0,1,1.0,0.7,0.78,1,0.5,0,0.64,1,1.0,0.51,1.0
LPB00084,0.7,0.5,1,1.0,1.0,0.75,1,1.0,1.0,0.89,1,1.0,1.0,0.95,1,1.0,0.7,0.8,1,1.0,0.7,0.56,1,0.5,0.65,0.67
LPB00092,0,0,1,1.0,0,1,1,1.0,0.7,0.58,1,1.0,1.0,0.57,1,1.0,0,0.98,1,1.0,0,0.96,1,1.0,0.44,0.67
LPB00094,0.7,0.62,1,1.0,0,0.87,1,1.0,0.7,0.35,1,1.0,0.7,0.62,1,1.0,1.0,0.68,1,1.0,0,0.73,1,1.0,0.72,1.0
LPB00095,0,0.51,1,1.0,0,0.34,1,1.0,1.0,0.67,1,1.0,0.7,0.41,1,0.5,0.7,0.93,1,0.5,0,0.91,1,1.0,0.56,0
LPB00096,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00099,1.0,0.94,1,1.0,0,0,1,1.0,0,0.33,1,1.0,0,0.45,1,1.0,1.0,0.2,1,1.0,0.7,0.02,1,1.0,0.55,1.0
LPB00102,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,1.0,0.99,1,1.0,0.7,1.0,1,1.0,0.7,1,1,1.0,0.64,1.0
LPB00103,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,0.67
LPB00104,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,1.0
LPB00105,0.7,0.62,1,1.0,0.7,0.71,1,0.5,0,0.34,1,0.5,1.0,0.74,1,1.0,1.0,0.5,1,0.5,0.7,0.43,1,1.0,0.34,1.0
LPB00106,0.7,0.46,1,1.0,0,0.73,1,1.0,0.7,0.48,1,1.0,1.0,0.95,1,1.0,0.7,0.82,1,1.0,1.0,0.95,1,1.0,0.6,1.0
LPB00107,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00108,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00109,0,0.59,1,0.5,0,0.65,1,0.5,0.7,0.67,1,1.0,0.7,0.73,1,1.0,0.7,0.55,1,1.0,1.0,1.0,1,1.0,0.59,0.67
LPB00110,0.7,0.9,1,1.0,0.7,0.44,1,1.0,1.0,0.67,1,1.0,0.7,0.83,1,1.0,0.7,1.0,1,1.0,1.0,0.98,1,1.0,0.55,1.0
LPB00115,0.7,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0.91,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,0.8,1.0
LPB00116,0,0.59,1,1.0,0,0.98,1,1.0,0,0.32,1,1.0,0.7,0.52,1,1.0,0.7,0.59,1,1.0,1.0,0.92,1,1.0,0.57,0.67
LPB00121,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00122,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00125,0,0,1,1.0,0,1,1,1.0,0.7,0.58,1,1.0,1.0,0.57,1,1.0,0,0.98,1,1.0,0,0.96,1,1.0,0.44,0.67
LPB00126,0.7,0.56,1,1.0,0.7,0,1,1.0,0.7,0.59,1,1.0,0,0,1,0.5,1.0,0.49,1,1.0,1.0,0.77,1,1.0,0.54,1.0
LPB00130,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.57,1.0
LPB00132,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.58,1.0
LPB00133,1.0,0.83,1,1.0,0.7,0.89,1,1.0,0.7,0.6,1,1.0,1.0,0.41,1,1.0,0.7,0.35,1,1.0,1.0,0.89,1,1.0,0.76,1.0
LPB00134,0,0.38,1,1.0,0,0.92,1,1.0,0.7,0.61,1,1.0,0,0.32,1,0.5,0.7,0.89,1,1.0,0,0.52,1,1.0,0.64,0.67
LPB00135,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.48,0.67
LPB00136,0.7,0.74,1,1.0,0.7,0.66,1,1.0,0.7,0.4,1,1.0,0.7,0.33,1,0.5,0.7,0.83,1,0.5,0.7,0.47,1,1.0,0.84,0.33
LPB00137,0.7,0,1,1.0,1.0,0,1,1.0,0.7,0,1,0.5,1.0,0.96,1,0.5,0.7,0.9,1,1.0,0,0,1,1.0,0.84,1.0
LPB00138,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.7,1,1,1.0,0.56,0
LPB00142,0.7,1.0,1,1.0,0.7,1,1,1.0,0.7,0.94,1,1.0,1.0,0.97,1,1.0,0.7,0.99,1,1.0,0.7,1.0,1,1.0,0.49,1.0
LPB00144,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00146,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00149,0,0,1,1.0,0,1,1,1.0,0.7,0.58,1,1.0,1.0,0.57,1,1.0,0,0.98,1,1.0,0,0.96,1,1.0,0.44,0.67
LPB00151,1.0,0.72,1,1.0,0.7,0.18,1,1.0,0.7,0.76,1,1.0,0.7,0.7,1,0.5,0,0,1,1.0,1.0,0.84,1,1.0,0.7,1.0
LPB00153,0,0.77,1,1.0,1.0,0.99,1,1.0,0.7,0.95,1,1.0,0,0.82,1,1.0,0.7,0.9,1,1.0,0,0.66,1,0.5,0.43,1.0
LPB00156,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00158,0.7,0.86,1,1.0,0.7,0.88,1,1.0,1.0,0.84,1,1.0,0.7,0.06,1,1.0,1.0,0.79,1,1.0,0.7,0.84,1,1.0,0.23,1.0
LPB00162,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00163,1.0,0.83,1,1.0,0.7,0.83,1,1.0,1.0,0.94,1,1.0,0.7,0.59,1,1.0,0.7,0.84,1,1.0,0.7,0.88,1,1.0,0.29,1.0
LPB00164,1.0,0.51,1,1.0,0,0.89,1,1.0,0,0.29,1,0.5,0.7,0.65,1,1.0,0.7,0.59,1,1.0,0,0.53,1,1.0,0.69,1.0
LPB00166,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,1.0,1,1,1.0,0.81,1.0
LPB00170,1.0,0.78,1,1.0,0.7,0.52,1,0.5,0,0.33,1,1.0,0.7,0.56,1,1.0,0,0.82,1,1.0,0.7,0.57,1,1.0,0.79,1.0
LPB00172,1.0,1,1,1.0,1.0,0.64,1,1.0,1.0,0.94,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,0.7,1,1,1.0,0.96,1.0
LPB00173,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00175,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,1.0
LPB00179,0.7,0.85,1,1.0,0.7,0.87,1,0.5,0.7,0.71,1,1.0,0.7,0.86,1,1.0,0.7,0.86,1,1.0,0.7,0.85,1,1.0,0.38,1.0
LPB00182,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00184,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00188,1.0,0.54,1,1.0,0.7,0.86,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0.7,0.41,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00189,1.0,0.7,1,0.5,0,0.86,1,0.5,1.0,0.58,1,1.0,0.7,0.68,1,1.0,0.7,0.64,1,1.0,0,0.44,1,1.0,0.45,0.67
LPB00190,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00191,0.7,0.86,1,1.0,0.7,0.88,1,1.0,1.0,0.84,1,1.0,0.7,0.06,1,1.0,1.0,0.79,1,1.0,0.7,0.84,1,1.0,0.23,1.0
LPB00192,0,0.77,1,1.0,0.7,0.48,1,1.0,0.7,0.83,1,1.0,0.7,0.43,1,0.5,1.0,0.91,1,1.0,0,0.5,1,1.0,0.55,0.67
LPB00193,0.7,0.62,1,1.0,0.7,0.71,1,0.5,0,0.34,1,0.5,1.0,0.74,1,1.0,1.0,0.5,1,0.5,0.7,0.43,1,1.0,0.28,1.0
LPB00194,1.0,0.56,1,1.0,0,0.93,1,1.0,1.0,0.87,1,1.0,0,0.39,1,0.5,0.7,0.75,1,1.0,0,0.63,1,1.0,0.43,1.0
LPB00195,0.7,0,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,1.0,0,1,1.0,0.7,0,1,1.0,1.0,0,1,1.0,0.59,1.0
LPB00196,0,0.79,1,1.0,0,0.49,1,1.0,0.7,0.71,1,1.0,0.7,0.52,1,1.0,0,0.43,1,1.0,0.7,0.61,1,1.0,1.0,0.67
LPB00198,1.0,1,1,1.0,0.7,0.04,1,0.5,1.0,1.0,1,0.5,0.7,0.69,1,1.0,1.0,0.97,1,1.0,1.0,1,1,1.0,0.48,0.67
LPB00199,0.7,0.37,1,1.0,0,0.75,1,1.0,0.7,0.31,1,1.0,0.7,0.37,1,1.0,0,0.77,1,1.0,0.7,0.63,1,1.0,0.52,1.0
LPB00200,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,0.67
LPB00202,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00203,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1.0,1,1.0,0.37,1.0
LPB00204,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,1.0,0.99,1,1.0,0.7,1.0,1,1.0,0.7,1,1,1.0,0.64,1.0
LPB00207,0.7,0.62,1,1.0,0.7,0.71,1,0.5,0,0.34,1,0.5,1.0,0.74,1,1.0,1.0,0.5,1,0.5,0.7,0.43,1,1.0,0.34,1.0
LPB00208,0.7,0.37,1,1.0,0.7,0.7,1,1.0,0,0.43,1,0.5,0,0.57,1,1.0,0,0.54,1,1.0,0,0.43,1,1.0,0.37,1.0
LPB00209,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00210,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,0.67
LPB00212,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,0.7,1,1,1.0,1.0,1,1,1.0,0.7,1.0
LPB00213,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00214,0,0.67,1,1.0,0.7,0.71,1,1.0,1.0,0.69,1,0.5,1.0,0.84,1,1.0,1.0,0.95,1,1.0,0,0,1,1.0,0.48,0
LPB00215,0.7,1,1,1.0,0.7,0,1,1.0,1.0,1,1,0.5,1.0,1.0,1,0.5,0.7,0.73,1,1.0,1.0,1,1,1.0,0.51,1.0
LPB00216,0,0,1,1.0,0.7,0.22,1,0.5,0.7,0.08,1,1.0,0.7,0.97,1,1.0,0.7,0.95,1,1.0,0.7,0.9,1,1.0,0.6,0.33
LPB00217,0.7,0.43,1,1.0,0,0.95,1,0.5,0,0.36,1,1.0,1.0,0.91,1,1.0,0.7,0.79,1,1.0,0.7,0.82,1,1.0,0.68,1.0
LPB00218,1.0,1,1,1.0,1.0,0.99,1,1.0,0,0.76,1,1.0,1.0,0.99,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,0.69,1.0
LPB00222,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00224,1.0,0.81,1,1.0,0.7,0.88,1,1.0,1.0,0.87,1,1.0,1.0,0.81,1,1.0,1.0,0.75,1,1.0,1.0,0.86,1,1.0,0.6,1.0
LPB00225,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00228,1.0,1,1,1.0,1.0,0.97,1,1.0,1.0,1.0,1,1.0,1.0,1,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,0.6,1.0
LPB00230,0,0.67,1,1.0,0.7,0.71,1,1.0,1.0,0.69,1,0.5,1.0,0.84,1,1.0,1.0,0.95,1,1.0,0,0,1,1.0,0.48,0
LPB00231,0.7,0.77,1,1.0,0,0.32,1,0.5,0,0,1,1.0,0.7,0.03,1,1.0,0,0,1,1.0,0.7,0.18,1,1.0,0.4,1.0
LPB00232,0.7,0,1,1.0,1.0,0,1,1.0,0.7,0,1,0.5,1.0,0.96,1,0.5,0.7,0.9,1,1.0,0,0,1,1.0,0.84,1.0
LPB00233,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00235,0.7,0.86,1,1.0,0.7,0.88,1,1.0,1.0,0.84,1,1.0,0.7,0.06,1,1.0,1.0,0.79,1,1.0,0.7,0.84,1,1.0,0.23,1.0
LPB00236,0.7,0.86,1,1.0,0.7,0.88,1,1.0,1.0,0.84,1,1.0,0.7,0.06,1,1.0,1.0,0.79,1,1.0,0.7,0.84,1,1.0,0.23,1.0
LPB00238,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.55,0
LPB00239,1.0,0.54,1,1.0,0.7,0.86,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0.7,0.41,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00241,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1.0,1,0.5,0.7,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.91,1.0
LPB00243,0.7,0.41,1,1.0,0.7,0.52,1,1.0,0.7,0.33,1,1.0,0.7,0.33,0,1.0,0.7,0.49,1,1.0,0.7,0.48,1,1.0,0.64,1.0
LPB00244,1.0,1,1,1.0,1.0,0.64,1,1.0,1.0,0.94,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,0.7,1,1,1.0,0.96,1.0
LPB00245,0.7,0.35,1,1.0,0,0.86,1,1.0,0.7,0.81,1,1.0,0.7,0.84,1,0.5,0.7,0.42,1,1.0,0.7,0.39,1,1.0,0.58,0.67
LPB00246,1.0,0.54,1,1.0,0,0.19,1,1.0,0,0.48,1,1.0,0.7,0.6,1,1.0,0,0,1,1.0,0,0.52,1,1.0,0.65,1.0
LPB00247,0.7,1,1,1.0,1.0,0,1,1.0,1.0,0.64,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.7,1,1,1.0,0.96,1.0
LPB00248,0.7,0.62,1,1.0,0,0,1,0.5,0.7,0.36,1,1.0,0,0.3,1,1.0,0,0,1,1.0,1.0,0.94,1,1.0,0.41,1.0
LPB00250,1.0,0.9,1,1.0,0.7,0.85,1,1.0,1.0,0.85,1,1.0,0.7,0.68,1,1.0,0.7,0.64,1,1.0,0,0.44,1,1.0,0.59,1.0
LPB00255,0.7,0.74,1,1.0,0.7,0.66,1,1.0,0.7,0.4,1,1.0,0.7,0.33,1,0.5,0.7,0.83,1,0.5,0.7,0.47,1,1.0,0.85,0.33
LPB00257,1.0,0.78,1,1.0,0,0,1,1.0,0,0.5,1,1.0,0.7,0.37,1,1.0,0,0.62,1,1.0,1.0,0.93,1,1.0,0.69,0.67
LPB00260,1.0,0.89,1,1.0,0.7,0.83,1,1.0,0.7,0.93,1,0.5,0.7,0.51,1,1.0,0.7,0.74,1,1.0,0.7,0.51,1,1.0,0.65,1.0
LPB00261,1.0,0.78,1,1.0,0.7,0.41,1,1.0,0,0.5,1,1.0,0.7,0.37,1,1.0,0.7,0.77,1,1.0,1.0,0.93,1,1.0,0.69,0.67
LPB00268,0.7,0,1,1.0,0.7,0.14,1,1.0,0,0,1,1.0,1.0,0,1,1.0,0.7,0,0,1.0,0.7,0,1,1.0,0.42,1.0
LPB00272,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.49,0.67
LPB00277,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,0.95,1,1.0,0.7,1.0,1,1.0,0.48,1.0
LPB00280,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00284,1.0,0.89,1,1.0,0.7,0.83,1,1.0,0.7,0.93,1,0.5,0.7,0.51,1,1.0,0.7,0.74,1,1.0,0.7,0.51,1,1.0,0.65,1.0
LPB00289,0.7,0,1,1.0,1.0,1,1,1.0,0.7,0,1,1.0,0,0.07,1,1.0,0,0.75,1,1.0,0.7,1,1,1.0,0.74,1.0
LPB00290,1.0,0.89,1,1.0,0.7,0.61,1,1.0,1.0,0.72,1,1.0,1.0,0.57,1,1.0,1.0,0.73,1,1.0,1.0,0.63,1,0.5,0.44,1.0
LPB00291,1.0,0.89,1,1.0,0.7,0.83,1,1.0,0.7,0.93,1,0.5,0.7,0.51,1,1.0,0.7,0.74,1,1.0,0.7,0.51,1,1.0,0.65,1.0
LPB00293,1.0,0.95,1,1.0,0.7,0.57,1,0.5,0.7,0.77,1,1.0,1.0,0.8,1,1.0,0.7,0.8,1,1.0,0,0.42,1,0.5,0.72,1.0
LPB00295,1.0,0,1,0.5,0.7,0,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,1.0,0,1,1.0,0,0,1,1.0,0.44,1.0
