lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
Group_20,0,0.02,1,0.5,0.7,0.32,1,1.0,0,0,1,0.5,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.28,0.33
Group_21,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_22,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_23,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0.7,0.53,1,1.0,0.25,1.0
Group_24,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.27,1.0
Group_25,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,0,0,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.28,0.67
Group_26,0.7,0.11,1,1.0,1.0,0.99,0,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0,0.2,1,1.0,0,0.1,1,1.0,0.28,0.67
Group_27,0,0.02,1,0.5,0.7,0.32,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.32,0.33
Group_28,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.33,0
Group_29,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0.7,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.29,0
Group_30,0.7,0.51,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.31,1.0
Group_31,0,0,1,1.0,0.7,0.18,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.31,1.0
